myeloid_TFs;monocyte_differentiation;neutrophil_differentiation;cell_cycle;purine_nucleotide_synthesis
Cebpe;Ass1;Camp;Ccna2;Ampd2
Arid3a;Cd34;Cd177;Ccnb1;Aprt
Gfi1;Csf1r;Cd34;Ccnb2;Gda
Lmo4;Ctss;Chi3l1;Ccnb2;Hprt
Cebpa;Elane;Chi3l3;Ccnd2;Impdh2
Spi1;Eltd1;Elane;Ccne1;Nme2
Cux1;Emb;Eltd1;Ccne2;Pnp
Scand1;F13a1;Fcnb;Ccnf;Ppat
Nfkbia;Glipr1;Gpr56;Ccng1;
Irf8;Gpr56;Gstm1;Cdca3;
Id2;Hpse;Ifitm1;Cdca8;
Chd3;Ifitm1;Ifitm6;Cdk1;
Cbfa2t3;Irf8;Itgb2l;Cdk4;
Etv6;Klf4;Lcn2;Cdk6;
Stat3;Ly6c2;Lrg1;Cdkn1b;
Pnrc1;Ly86;Ltf;Cenpa;
Pbx1;Ms4a6c;Mpo;Cenpe;
Mef2c;Papss2;Ngp;Cenpf;
Elf1;Prdx4;Orm1;Cenpm;
Lmo2;Rassf4;Pglyrp1;Cit;
Cited2;S100a4;S100a8;Ckap2l;
Sox4;Serpina3f;S100a9;Clspn;
Runx1;Slpi;Serpina3f;Ctcf;
Nfe2;Tcfec;Syne1;Dnajc9;
Myb;Tifab;;Dyrk1a;
Foxp1;Trem2;;Ect2;
Zfpm1;;;Ezh2;
Hmgb3;;;H2afx;
Gfi1b;;;H3f3a;
Tcf3;;;Hn1;
Pa2g4;;;Incenp;
Mbd2;;;Kif11;
Phf10;;;Kif22;
Phb2;;;Lbr;
Gtf2f1;;;Lig1;
Csda;;;Mcm5;
E2f4;;;Mcm6;
Cited4;;;Mki67;
Ccne1;;;Nde1;
;;;Nucks1;
;;;Pcna;
;;;Prc1;
