source;gene
biomart_go;Spin2f
biomart_go;Spin2e
biomart_go;Gm21637
biomart_go;Gm5926
biomart_go;Spin2g
biomart_go;Cetn2
biomart_go;Dync1h1
biomart_go;Mapre2
biomart_go;Mtbp
biomart_go;Cinp
biomart_go;Spin2d
biomart_go;Zfp385a
biomart_go;Nde1
biomart_go;Septin3
biomart_go;E2f6
biomart_go;Apex2
biomart_go;Mis18a
biomart_go;Bora
biomart_go;Nek9
biomart_go;Smc5
biomart_go;Septin6
biomart_go;Haus7
biomart_go;Lats2
biomart_go;Ska3
biomart_go;Pik3c3
biomart_go;Mcm4
biomart_go;Csnk1a1
biomart_go;Nsmce2
biomart_go;2610002M06Rik
biomart_go;Setdb2
biomart_go;Smc4
biomart_go;Cdc14a
biomart_go;Spice1
biomart_go;Nipbl
biomart_go;Son
biomart_go;Nedd9
biomart_go;Appl1
biomart_go;Prr5
biomart_go;Cul4b
biomart_go;Mcts1
biomart_go;Vash1
biomart_go;Sass6
biomart_go;Smc1b
biomart_go;Phf8
biomart_go;Mapk1
biomart_go;Cdc23
biomart_go;Cdc25c
biomart_go;Actr8
biomart_go;Stag2
biomart_go;Pogz
biomart_go;Nsun2
biomart_go;Pim3
biomart_go;Esco2
biomart_go;Prkce
biomart_go;Smc1a
biomart_go;Msh2
biomart_go;Chaf1b
biomart_go;Mis18bp1
biomart_go;Mapk12
biomart_go;Ruvbl1
biomart_go;Pkmyt1
biomart_go;Tspyl2
biomart_go;Hcfc1
biomart_go;Cacul1
biomart_go;Fbxl7
biomart_go;Spin2c
biomart_go;Rad17
biomart_go;Cdca2
biomart_go;Arf6
biomart_go;Pcnp
biomart_go;Cdk7
biomart_go;Klhl22
biomart_go;Uhrf2
biomart_go;Chmp3
biomart_go;Prkcd
biomart_go;Syce3
biomart_go;Pard6a
biomart_go;Kat2b
biomart_go;Sgo1
biomart_go;Ccnb1
biomart_go;Gmnn
biomart_go;Ccna2
biomart_go;Chmp1b
biomart_go;Map9
biomart_go;Mcm2
biomart_go;Fsd1
biomart_go;Cenpt
biomart_go;Ccnf
biomart_go;Bin3
biomart_go;Ccar2
biomart_go;Chaf1a
biomart_go;Tppp
biomart_go;Seh1l
biomart_go;Kif20b
biomart_go;Reep4
biomart_go;Foxn3
biomart_go;Rps6ka3
biomart_go;Ncapg2
biomart_go;Nek4
biomart_go;E4f1
biomart_go;Stox1
biomart_go;Uhrf1
biomart_go;Nrde2
biomart_go;Cenpw
biomart_go;Anapc10
biomart_go;Septin5
biomart_go;Ccar1
biomart_go;Cdc45
biomart_go;Zw10
biomart_go;Smpd3
biomart_go;E2f3
biomart_go;Chtf8
biomart_go;Spin1
biomart_go;Vps4a
biomart_go;Rbbp4
biomart_go;Terf2
biomart_go;Cks2
biomart_go;Bex2
biomart_go;Ahr
biomart_go;Cep55
biomart_go;Cdca3
biomart_go;Hnrnpu
biomart_go;Nup37
biomart_go;Hells
biomart_go;Cdk6
biomart_go;Mad2l2
biomart_go;Khdrbs1
biomart_go;Anapc7
biomart_go;Ensa
biomart_go;Reep3
biomart_go;Mnat1
biomart_go;Txnl4b
biomart_go;Ahctf1
biomart_go;Rb1
biomart_go;Cul3
biomart_go;Usp16
biomart_go;Ing4
biomart_go;Mapk4
biomart_go;Tfdp1
biomart_go;Atm
biomart_go;Hmga2
biomart_go;Ist1
biomart_go;Rad21
biomart_go;Llgl2
biomart_go;Cdk1
biomart_go;Cdk14
biomart_go;Ccnt1
biomart_go;Kif2a
biomart_go;Npat
biomart_go;Ints13
biomart_go;Cenps
biomart_go;Chek1
biomart_go;Cdc16
biomart_go;Pard6g
biomart_go;Txnl4a
biomart_go;Dscc1
biomart_go;Maea
biomart_go;Cdc26
biomart_go;Ctdp1
biomart_go;Recql5
biomart_go;Avpi1
biomart_go;Marveld1
biomart_go;Eml3
biomart_go;Cetn3
biomart_go;Ncapd2
biomart_go;Racgap1
biomart_go;Incenp
biomart_go;Hepacam
biomart_go;Vrk1
biomart_go;Rbbp8
biomart_go;Txnip
biomart_go;Zfyve26
biomart_go;Cables1
biomart_go;Brcc3
biomart_go;Snx9
biomart_go;Rassf1
biomart_go;Klhl42
biomart_go;Erh
biomart_go;Rgcc
biomart_go;Rgs14
biomart_go;Txlng
biomart_go;Ccnd1
biomart_go;Nedd1
biomart_go;Tbrg1
biomart_go;Haus1
biomart_go;Cdk4
biomart_go;Gnai2
biomart_go;Anapc5
biomart_go;Lzts2
biomart_go;Cdc7
biomart_go;Snx33
biomart_go;Usp44
biomart_go;Cdc6
biomart_go;Map3k8
biomart_go;Gadd45gip1
biomart_go;Uba3
biomart_go;Trp63
biomart_go;Ccnd2
biomart_go;Suv39h1
biomart_go;Gmnc
biomart_go;Nek3
biomart_go;Syce2
biomart_go;Ckap2
biomart_go;Ccnh
biomart_go;Ddit3
biomart_go;Ralb
biomart_go;Brinp1
biomart_go;Csnk2a1
biomart_go;Hace1
biomart_go;Ccny
biomart_go;Cetn1
biomart_go;Dynlt1a
biomart_go;Ccno
biomart_go;Mcidas
biomart_go;Dynlt1b
biomart_go;Dynlt1c
biomart_go;Dynlt1f
biomart_go;Haus3
biomart_go;Esco1
biomart_go;Epb41
biomart_go;Ythdf2
biomart_go;Phf13
biomart_go;Klhl21
biomart_go;Triobp
biomart_go;Tet2
biomart_go;Ube2i
biomart_go;Haus4
biomart_go;Ajuba
biomart_go;Sde2
biomart_go;Senp5
biomart_go;Pmf1
biomart_go;Fign
biomart_go;Nek1
biomart_go;Ankrd53
biomart_go;Ndc80
biomart_go;Wapl
biomart_go;Bod1
biomart_go;Rcc1
biomart_go;Ccna1
biomart_go;Pelo
biomart_go;Spdya
biomart_go;Mapk3
biomart_go;Terf1
biomart_go;Arl3
biomart_go;Dmc1
biomart_go;Dbf4
biomart_go;Cks1brt
biomart_go;Mdc1
biomart_go;Sycp2
biomart_go;Cdkn2c
biomart_go;Sgo2b
biomart_go;Tpx2
biomart_go;Gspt2
biomart_go;Dynlt3
biomart_go;Stk10
biomart_go;Fbxw11
biomart_go;Sycp1
biomart_go;Sgsm3
biomart_go;Lzts1
biomart_go;Ep300
biomart_go;Cdkn3
biomart_go;Cgrrf1
biomart_go;Smc3
biomart_go;Brd7
biomart_go;Lmln
biomart_go;Usp2
biomart_go;Rhoa
biomart_go;Spdl1
biomart_go;Mau2
biomart_go;Cables2
biomart_go;Spast
biomart_go;Trnp1
biomart_go;Dmtf1
biomart_go;Nudc
biomart_go;Poc5
biomart_go;Klhdc8b
biomart_go;Ccng1
biomart_go;Septin9
biomart_go;Zwint
biomart_go;Siah2
biomart_go;Wtap
biomart_go;Rab11fip3
biomart_go;Cdc123
biomart_go;Ccnt2
biomart_go;Usp22
biomart_go;Foxo4
biomart_go;Trp73
biomart_go;Mcm3
biomart_go;Birc6
biomart_go;Arhgef2
biomart_go;Mplkip
biomart_go;Dusp1
biomart_go;Pttg1
biomart_go;Rala
biomart_go;Pin1
biomart_go;Cdkn1b
biomart_go;Dis3l2
biomart_go;Rbl2
biomart_go;Birc5
biomart_go;H2ax
biomart_go;Ppp1ca
biomart_go;Mapk7
biomart_go;Klhl13
biomart_go;Chfr
biomart_go;Septin1
biomart_go;Brinp2
biomart_go;Gas1
biomart_go;Mcm6
biomart_go;Taf1
biomart_go;Wasl
biomart_go;Ankle2
biomart_go;Ercc6l
biomart_go;Cts7
biomart_go;Cd2ap
biomart_go;Anapc16
biomart_go;Cdca5
biomart_go;Tacc1
biomart_go;E2f7
biomart_go;Arl2
biomart_go;Fam107a
biomart_go;Spc25
biomart_go;Timeless
biomart_go;Anxa11
biomart_go;Arl8b
biomart_go;Sgo2a
biomart_go;Wdr6
biomart_go;Kif11
biomart_go;Mapre1
biomart_go;Cdk20
biomart_go;Brca2
biomart_go;Cdc5l
biomart_go;Rack1
biomart_go;Gm12184
biomart_go;Becn1
biomart_go;Pkn2
biomart_go;Mad2l1
biomart_go;Fbxo5
biomart_go;Dyrk3
biomart_go;Chek2
biomart_go;Ttc28
biomart_go;Gadd45a
biomart_go;Thap1
biomart_go;Pds5b
biomart_go;Pak4
biomart_go;Stard13
biomart_go;Katnb1
biomart_go;Map10
biomart_go;Nasp
biomart_go;Lig4
biomart_go;Ect2
biomart_go;Psme3
biomart_go;Stag1
biomart_go;Gnai1
biomart_go;Camk1
biomart_go;E2f1
biomart_go;Fam32a
biomart_go;Cep63
biomart_go;Brca1
biomart_go;E2f2
biomart_go;Anapc13
biomart_go;Klhl9
biomart_go;Cdc25a
biomart_go;Haus2
biomart_go;Cdk11b
biomart_go;Ptp4a1
biomart_go;Cdkn2a
