Schwann cells;Ng2+ MSCs;Osteoblasts;Chondrocytes;Fibroblast/Chondrocyte progenitors;Sinusoidal endothelial cells;Arterial endothelial cells;Adipo-CAR;Osteo-CAR;Smooth muscle cells;Myofibroblasts;Stromal fibroblasts;Arteriolar fibroblasts;Endosteal fibroblasts;Erythroblasts;Erythroid progenitors;Neutrophil progenitors;Monocyte progenitors;Granulocyte/Monocyte progenitors;Eosinophil/Basophil progenitors;Lymphoid-primed multipotent progenitors;Erythroid/Megakaryocyte progenitors;Megakaryocyte progenitors;large pre-B cells;pro-B cells;Monocytes;Neutrophils;T cells;NK cells;Dendritic cells;small pre-B cells;B cells
Plp1;Cd63;Col1a1;Lect1;Cd9;Sepp1;Tm4sf1;Cxcl12;Tnc;Sparcl1;Myl12a;Dcn;Dcn;S100a6;Car2;Car1;Ms4a3;Prtn3;Mpo;Cpa3;H2afy;Apoe;Itga2b;Ptma;Vpreb1;Psap;S100a8;Cd3g;Ms4a4b;Pld4;Vpreb3;Ms4a1
Aplp1;Spp1;Col1a2;Col9a3;Sparc;Gng11;Ly6c1;Tmem176b;Igfbp4;Dstn;Ubc;Lum;Serpinf1;Ly6a;Prdx2;Vamp5;Elane;F13a1;Prtn3;Srgn;Lmo2;Rps19;Ctla2a;Chchd10;Igll1;Lgals3;S100a9;Shisa5;AW112010;Irf8;Pafah1b3;Ly6d
Mbp;Serpine2;Sparc;Col9a2;Mfge8;Plvap;Slc9a3r2;Hp;Wif1;Myl9;Gnas;Gsn;Col3a1;Mfap5;Glrx5;Prdx6;Ctsg;Ly6c2;Ctsg;Nfkbia;Rpl3;Ddx5;Rgs18;Igll1;Vpreb3;Tyrobp;Wfdc21;Cd3d;Ccl5;Bst2;H3f3a;Cd79a
Mag;Tnc;Serpinh1;Col9a1;Cst3;Cldn5;Ly6e;Lpl;Cd63;Tagln;Gpx3;Apod;Pcolce;Clec3b;Cpox;Npm1;Mpo;Elane;Plac8;Ms4a2;Ctla2a;Vamp5;Nrgn;Hmgb1;Tspan13;Ctss;Pglyrp1;Rpl13a;Gimap4;Cd7;Cd79b;Cd79b
Cldn11;Mmp13;Ifitm5;Hapln1;Comp;Tcn2;Ly6a;Tmem176a;Cxcl12;Acta2;Rps28;Gpc3;Col1a2;Fstl1;Tmem14c;Nop10;Prtn3;Ms4a6c;Emb;Plac8;Ramp1;Pabpc1;Pf4;Cd79a;Ebf1;Fcer1g;Prdx5;Tmsb10;Shisa5;Psap;Dnajc7;Cd74
Cnp;Ibsp;Cadm1;Col11a1;Tsc22d1;Egfl7;Crip2;H2-D1;Olfml3;Tpm2;Cd63;Smoc2;Bgn;Pi16;Atpif1;Hspd1;Srgn;Ctsg;Elane;4930519L02Rik;Cd34;Rps18;Fam212a;Vpreb1;Cd79a;Tmsb4x;Cyba;Ms4a4b;Nkg7;Siglech;Chchd10;Btg1
Stmn4;Cfh;Cgref1;Sparc;Igfbp7;Esam;Cav1;Apoe;H2-D1;Mustn1;Meg3;Sparcl1;Nbl1;Ly6c1;Dut;Ncl;Nkg7;Mpo;H2afy;Hdc;Pabpc1;Nfkbia;Ldha;Vpreb3;Mzb1;Alox5ap;Tmsb4x;Gm9493;Cd52;Ctsh;Tifa;Rac2
Mog;Timp1;Rcn3;Comp;Clu;Cdh5;Esam;Gas6;Kcnk2;Crip1;Tnfrsf12a;Phlda1;Cd9;Timp2;Ctse;Rps18;Prss57;Plac8;Slc25a5;Nkg7;Rpl18a;Rps5;Rap1b;Ucp2;Chchd10;Cyba;Lcn2;Rpl37a;Tmsb4x;Cyth4;Cnp;Coro1a
Tubb4a;Cd200;Cd63;Col2a1;Prelp;Fcgrt;Cd81;Adipoq;Gas6;Sncg;Jund;Mmp2;Gsn;Igfbp6;Hmgb3;Atp1b2;Cst7;Emb;Ap3s1;Ikzf2;Cmtm7;Rpl17;Pbx1;Mzb1;Cd79b;Ms4a6c;Anxa1;Ltb;Tmsb10;Rnase6;Cd72;Tmsb4x
Mal;Serpinh1;Creb3l1;3110079O15Rik;Fn1;Lrg1;Egfl7;Esm1;Serpine2;Malat1;Lmna;Col1a1;Sparc;Gsn;Anp32b;Rpl3;Alas1;Irf8;BC035044;Ifitm1;Rps19;Rpl32;Mef2c;Ebf1;Tifa;Tmsb10;Fcer1g;Rps15a;Selplg;Mpeg1;Ptprcap;Serp1
