HSCs ;LMPP ;GMP ;basophil/Mastcell progenitors ;MEP ;megakaryocytic progenitors ;erythroid progenitors ;neutrophil progenitors;Neutrophils ;Myeloid progenitors ;monocyte progenitors ;eosinophil progenitors ;basophil progenitors
Procr;Flt3;Rasgrp2;Trib2;Usp14;Pf4;Klf1;Elane;Brpf1;Mpo;Irf8;Prg2;Prss34
Fgd5;Cd34;Prtn3;Trbv12−2;Mns1;Itga2b;Epor;Gfi1;Dnmt3l;Cd25;Csf1r;Prg3 ;Mcpt8 
Hoxb5;Igh;Prss57;St8sia6;Atp1b2;Gp1bb;Gata1;Cebpe;Baz2b;Sfpi1;Ly86 ;;
Procr;Dntt;Mtus1;Scin;Zdhhc13;;Car1;;Lmo4;Eltd1;;;
Pdzk1ip1;Cd25;Ms4a3;Myo1e;Sod1;;Apoe;;Hivep1;Calr;;;
Ltb;Mpo;Ly6c2;Klf6;Hdgf;;Gata2 ;;Hdac4;;;;
Mllt3;Rag2;Lbp;Kif26b;Memo1;;;;Pbx2;;;;
Ifitm1;Tespa1;Igsf6;Jun;Nudt19;;;;Fli1;;;;
Gimap1;Wfdc17;Hp;Gtpbp2;Rcc1;;;;Nfe2l2;;;;
Gimap6;Serpinb1a;Hk3;Gpr183;Zdhhc6;;;;Lrrfip2;;;;
Limd2;Cd53;Gm11505;Gm7676;Nop2;;;;Klf7;;;;
Trim47;Dntt;Gatm;Egr1;Stt3b;;;;Zscan29;;;;
Neil2;Adgrg3;Elane;Dok2;Hspd1;;;;Mxi1;;;;
Vwf;Il12a;Alas1;Car1;Naa50;;;;Ets2;;;;
Pde1b;Flt3;Anxa3;Atp1b2;1700017B05Rik;;;;Cebpe;;;;
Neo1;Ighv1-77;Prtn3;Rab27b;Tm7sf3;;;;Stat3;;;;
Sqrdl;Satb1;Lppr3;Prkcb;Idh3a;;;;Ets1;;;;
Sult1a1;H2afy;Igsf6;Npl;Nup62;;;;Sox13;;;;
Cd82;BC035044;Ccl9;Ndst2;Snrpb;;;;Klf5;;;;
Ramp2;Plac8;Myb;Mcpt8;Eif2s1;;;;Mxd1;;;;
Ubl3;Cd34;Arl11;Lilrb4;Cd24a;;;;Dach1;;;;
Ly6a;Cd52;Fam46a;Ids;Vdac2;;;;Jdp2;;;;
Cdkn1c;Ramp1;Elane;Hpgds;Nsun2;;;;;;;;
Fgfr3;Ucp2;Cd48;Gp49a;Sdhd;;;;;;;;
Cldn10;RP23-92D22.3;Ptgr1;Cyp11a1;Slc41a3;;;;;;;;
Ptpn14;Sh2d5;Tespa1;Cma1;Gpsm2;;;;;;;;
Mettl7a1;Emb;Edem1;Cited4;Sec23ip;;;;;;;;
Smtnl1;Dock10;Serpinb1a;Cd276;Eif5a;;;;;;;;
Ctsf;Crip1;Csf2rb;Atp8b5;Lonp1;;;;;;;;
Gstm1;Ighv1-81;Tmsb4x;Adora3;Ckap2;;;;;;;;
Sox18;H2-Ob;F630028O10Rik;Gzmb;Tmem147;;;;;;;;
Fads3;Dntt;Hk3;Prss34;Prkab1;;;;;;;;
Ly6a;Igh;Lgals1;Mcpt8 ;Chchd10;;;;;;;;
Ifitm1;Satb1;Hp;Cma1;Wdr55;;;;;;;;
Inhba;;Pdcd4;;Tlk1;;;;;;;;
Mllt3;;Cd53;;Zfp639;;;;;;;;
Wfdc2;;Adgrg3;;Kif22;;;;;;;;
Ifitm3;;Csgalnact2;;Nudt4;;;;;;;;
Gbp6;;Igfbp4;;Mdh2;;;;;;;;
Ramp2;;Mpo;;Pigq;;;;;;;;
Sult1a1;;Ms4a3;;Eif4ebp1;;;;;;;;
Gbp8;;Fam111a;;Rpn2;;;;;;;;
Ablim1;;Mcpt8;;Hars;;;;;;;;
Ralgapa1;;H2afy;;Cyc1;;;;;;;;
Cd74;;Ctsg;;Tango2;;;;;;;;
Cyp27a1;;Mgat5;;Lap3;;;;;;;;
Procr;;Atp8b4;;Alad;;;;;;;;
St8sia4;;Alas1;;Rexo2;;;;;;;;
Gm4951;;Anxa3;;Ndufb9;;;;;;;;
Ly6e;;BC035044;;Ncapg2;;;;;;;;
Ndnf;;Hdc;;Ddx21;;;;;;;;
Mapk12;;Trem3;;Gtf2f1;;;;;;;;
Tgtp2;;Sell;;Oat;;;;;;;;
Ifitm1;;Plac8;;Fth1;;;;;;;;
Mllt3;;Gng12;;Gars;;;;;;;;
Pdzk1ip1;;Fcgr2b;;Snhg5;;;;;;;;
Serpina3f;;Spns3;;Emilin2;;;;;;;;
Hif;;Cd34;;Mthfd1;;;;;;;;
Ly6a;;Itgal;;Nars;;;;;;;;
 Ctnaal1;;Cd52;;Sppl2b;;;;;;;;
Trpc6;;Fcgr3;;Tmem14c;;;;;;;;
Mpl;;Ramp1;;Cldn13;;;;;;;;
Hoxb5;;Clec12a;;Vdac1;;;;;;;;
Fgd5;;Ncf1;;Slc25a3;;;;;;;;
;;Slco3a1;;Pole3;;;;;;;;
;;Emb;;Dlst;;;;;;;;
;;Epx;;Sh3tc2;;;;;;;;
;;Rab44;;Farsa;;;;;;;;
;;P4hb;;Rfesd;;;;;;;;
;;Prss57;;Dek;;;;;;;;
;;Cst7;;Slc40a1;;;;;;;;
;;Tyrobp;;Isyna1;;;;;;;;
;;Nkg7;;Klf1;;;;;;;;
;;;;Casp3;;;;;;;;
;;;;Picalm;;;;;;;;
;;;;Gclc;;;;;;;;
;;;;Ifi30;;;;;;;;
;;;;Bag2;;;;;;;;
;;;;Mat2a;;;;;;;;
;;;;Txnl1;;;;;;;;
;;;;Fech;;;;;;;;
;;;;Comt;;;;;;;;
;;;;Acaa2;;;;;;;;
;;;;Psmg2;;;;;;;;
;;;;Tmem56;;;;;;;;
;;;;Sgpp1;;;;;;;;
;;;;Scarb1;;;;;;;;
;;;;Spire1;;;;;;;;
;;;;Minpp1;;;;;;;;
;;;;Cs;;;;;;;;
;;;;Nusap1;;;;;;;;
;;;;Uap1;;;;;;;;
;;;;Epdr1;;;;;;;;
;;;;Rrm1;;;;;;;;
;;;;Nup93;;;;;;;;
;;;;Eef1e1;;;;;;;;
;;;;Txnrd2;;;;;;;;
;;;;Atp7b;;;;;;;;
;;;;Gypa;;;;;;;;
;;;;Hsph1;;;;;;;;
;;;;Lyrm4;;;;;;;;
;;;;Phf10;;;;;;;;
;;;;Steap3;;;;;;;;
;;;;Scrn3;;;;;;;;
;;;;Car1;;;;;;;;
;;;;Hagh;;;;;;;;
;;;;Nolc1;;;;;;;;
;;;;Tmem33;;;;;;;;
;;;;Adsl;;;;;;;;
;;;;Afg3l2;;;;;;;;
;;;;Etf1;;;;;;;;
;;;;Hiatl1;;;;;;;;
;;;;Piga;;;;;;;;
;;;;Ubr7;;;;;;;;
;;;;Tmx1;;;;;;;;
;;;;Hpn;;;;;;;;
;;;;Acsl5;;;;;;;;
;;;;Rcor1;;;;;;;;
;;;;Hspa9;;;;;;;;
;;;;Ikzf1;;;;;;;;
;;;;Phb2;;;;;;;;
;;;;Usp15;;;;;;;;
;;;;Cirh1a;;;;;;;;
;;;;Mt2;;;;;;;;
;;;;Ppap2a;;;;;;;;
;;;;Ssx2ip;;;;;;;;
;;;;Abcb4;;;;;;;;
;;;;Tspan8;;;;;;;;
;;;;Slc25a21;;;;;;;;
;;;;Pik3r2;;;;;;;;
;;;;Kif20b;;;;;;;;
;;;;Golm1;;;;;;;;
;;;;Txn2;;;;;;;;
;;;;Cdca4;;;;;;;;
;;;;Dus1l;;;;;;;;
;;;;Glrx5;;;;;;;;
;;;;Cct2;;;;;;;;
;;;;Ndufv1;;;;;;;;
;;;;Pfkm;;;;;;;;
;;;;Camsap2;;;;;;;;
;;;;Fignl1;;;;;;;;
;;;;Cela1;;;;;;;;
;;;;Cnih1;;;;;;;;
;;;;Nxpe2;;;;;;;;
;;;;Tcp1;;;;;;;;
;;;;Clptm1l;;;;;;;;
;;;;Pitrm1;;;;;;;;
;;;;Ezr;;;;;;;;
;;;;Ddias;;;;;;;;
;;;;Eftud2;;;;;;;;
;;;;Gstm5;;;;;;;;
;;;;Ell2;;;;;;;;
;;;;Hnrnpdl;;;;;;;;
;;;;Gata1;;;;;;;;
;;;;Ap1b1;;;;;;;;
;;;;Abce1;;;;;;;;
;;;;Kif11;;;;;;;;
;;;;Apeh;;;;;;;;
;;;;Fkbp4;;;;;;;;
;;;;Uba2;;;;;;;;
;;;;Eif3a;;;;;;;;
;;;;Smc4;;;;;;;;
;;;;Abhd16a;;;;;;;;
;;;;Car2;;;;;;;;
;;;;Ftsj1;;;;;;;;
;;;;Pklr;;;;;;;;
;;;;Tk1;;;;;;;;
;;;;Hn1;;;;;;;;
;;;;Ces2g;;;;;;;;
;;;;Pla2g12a;;;;;;;;
;;;;Prdx2;;;;;;;;
;;;;Pon2;;;;;;;;
;;;;Sfxn1;;;;;;;;
;;;;Asns;;;;;;;;
;;;;Tspo2;;;;;;;;
;;;;Hat1;;;;;;;;
;;;;Cnp;;;;;;;;
;;;;Tomm40;;;;;;;;
;;;;Myo1d;;;;;;;;
;;;;Rabggtb;;;;;;;;
;;;;Atp5a1;;;;;;;;
;;;;Ak3;;;;;;;;
;;;;Tpx2;;;;;;;;
;;;;Ampd3;;;;;;;;
;;;;Ncapg;;;;;;;;
;;;;Farsb;;;;;;;;
;;;;Bzw1;;;;;;;;
;;;;Aldh1a1;;;;;;;;
;;;;Ddx39;;;;;;;;
;;;;Gfm1;;;;;;;;
;;;;Ubl4;;;;;;;;
;;;;Sumo3;;;;;;;;
;;;;Narf;;;;;;;;
;;;;Asf1b;;;;;;;;
