,query,_id,_score,symbol,notfound
0,ENSMUSG00000000001,14679,21.83197,Gnai3,
1,ENSMUSG00000000003,54192,21.831966,Pbsn,
2,ENSMUSG00000000028,12544,21.83197,Cdc45,
3,ENSMUSG00000000031,ENSMUSG00000000031,21.831966,H19,
4,ENSMUSG00000000037,107815,21.83197,Scml2,
5,ENSMUSG00000000049,11818,21.831966,Apoh,
6,ENSMUSG00000000056,67608,21.831966,Narf,
7,ENSMUSG00000000058,12390,21.831966,Cav2,
8,ENSMUSG00000000078,23849,21.83197,Klf6,
9,ENSMUSG00000000085,29871,21.831966,Scmh1,
10,ENSMUSG00000000088,12858,21.83197,Cox5a,
11,ENSMUSG00000000093,21385,21.831966,Tbx2,
12,ENSMUSG00000000094,21387,21.83197,Tbx4,
13,ENSMUSG00000000103,22768,21.831966,Zfy2,
14,ENSMUSG00000000120,18053,21.831966,Ngfr,
15,ENSMUSG00000000125,22415,21.831966,Wnt3,
16,ENSMUSG00000000126,216795,21.83197,Wnt9a,
17,ENSMUSG00000000127,14158,21.831966,Fer,
18,ENSMUSG00000000131,74204,21.83197,Xpo6,
19,ENSMUSG00000000134,209446,21.831966,Tfe3,
20,ENSMUSG00000000142,12006,21.83197,Axin2,
21,ENSMUSG00000000148,231841,21.831966,Brat1,
22,ENSMUSG00000000149,14673,21.831966,Gna12,
23,ENSMUSG00000000154,18400,21.831966,Slc22a18,
24,ENSMUSG00000000157,16415,21.83197,Itgb2l,
25,ENSMUSG00000000159,72058,21.831966,Igsf5,
26,ENSMUSG00000000167,72614,21.83197,Pih1d2,
27,ENSMUSG00000000168,235339,21.831966,Dlat,
28,ENSMUSG00000000171,66925,21.83197,Sdhd,
29,ENSMUSG00000000182,64654,21.831966,Fgf23,
30,ENSMUSG00000000183,14177,21.831966,Fgf6,
31,ENSMUSG00000000184,12444,21.831966,Ccnd2,
32,ENSMUSG00000000194,277463,21.83197,Gpr107,
33,ENSMUSG00000000197,338370,21.831966,Nalcn,
34,ENSMUSG00000000202,72014,21.83197,Btbd17,
35,ENSMUSG00000000204,20558,21.831966,Slfn4,
36,ENSMUSG00000000214,21823,21.83197,Th,
37,ENSMUSG00000000215,16334,21.831966,Ins2,
38,ENSMUSG00000000216,20278,21.140696,Scnn1g,
39,ENSMUSG00000000223,13497,21.831966,Drp2,
40,ENSMUSG00000000244,27027,21.83197,Tspan32,
41,ENSMUSG00000000247,16870,21.831966,Lhx2,
42,ENSMUSG00000000248,70809,21.83197,Clec2g,
43,ENSMUSG00000000253,66355,21.831966,Gmpr,
44,ENSMUSG00000000263,14654,21.83197,Glra1,
45,ENSMUSG00000000266,23947,21.831966,Mid2,
46,ENSMUSG00000000275,217069,21.831966,Trim25,
47,ENSMUSG00000000276,56077,21.831966,Dgke,
48,ENSMUSG00000000278,74617,21.83197,Scpep1,
49,ENSMUSG00000000282,17428,21.831966,Mnt,
50,ENSMUSG00000000290,16414,21.83197,Itgb2,
