group1,group2,group3,group4,group5,group6,group7,group8,group9,group10,group11,group12,group13,group14
Slfn2,Rpl35,Rpl41,Tmsb10,Isg15,Ube2l6,Hist1h2ap,Mnda,Hba-a2,S100a8,Prss34,Cxcl10,Ifi27l2a,Ifi203
Rnaset2a,Rps29,Atp5k,Bola2,Ifitm3,Ccnd2,Gstp1,Pyhin1,Tnfaip2,S100a9,Cpa3,Ifit3,Ms4a6c,Mndal
mt-Nd3,Uba52,Lsm7,Wdr43,Ifit1,Cma1,Hist1h2ae,Slpi,Hbb-bs,Agl,Mcpt8,Jchain,Ms4a6b,Ifi44
Rnaset2b,Rps28,Snrpg,Plac8,Irf7,Acadl,Hist1h1b,F13a1,Hebp1,Pglyrp1,Cd200r3,Ifit3b,Pim1,Oasl2
Taf1d,Rpl38,Sec61g,Hk2,Usp18,H2-T24,Ube2c,Irf8,Hbb-bt,Elane,Fcer1a,Gm4951,Ms4a4c,Rsad2
mt-Nd4l,Rps21,Cox7c,1810022K09Rik,Xaf1,Tapbp,Lgals9,Tcof1,Rhd,Rgcc,Ms4a2,Ifit1bl1,Pydc4,Iigp1
Dpm3,Rpl39,Eif3j1,Pgk1,Trim30a,Psmb10,Hist1h4h,Ctsh,Car1,,Prg3,Ifit2,Cebpb,Ifi204
Pnp,Rps27,Usmg5,Hells,Rtp4,Gzmb,Hist1h2ab,Pld4,Hba-a1,,Clec12a,Ly6a,Sdc3,Serpina3g
Nme2,Rpl37,Tomm7,Ccdc85b,Bst2,Zcchc11,Nudcd3,Aldh1b1,Mgst3,,Ethe1,F830016B08Rik,Dntt,Igtp
Nars,Rpl36,Ndufa3,1810009A15Rik,Ifi47,Phf11c,Hist1h4d,Klrk1,Fam132a,,Cyp4f18,AI607873,Gm26737,Phf11b
AY036118,Rpl37a,2010107E04Rik,Abhd2,Zbp1,Mki67,Hspa1a,Prg2,Tspan8,,Tyrobp,Pydc3,BC094916,Gbp7
Gng10,Gm10076,Polr2l,Fam98b,Stat1,Hspa1b,Tor1aip2,Rilpl1,Mmd,,Lgals3,Trim30c,Dhrs3,Ddx58
Hmga1-rs1,Wdr89,Ddx24,Myeov2,Isg20,Ifitm1,Tbrg1,Csf1r,Ctse,,Csrp3,Cd74,Pkib,Mx1
Chpt1,Gm10020,Ddx21,Pdcd11,Oas1a,Id2,Setdb2,Slfn1,Cldn13,,Hist1h2bc,Stat2,Plek,Eif2ak2
Snhg9,Toporsos,Romo1,March5,Sp100,Hist1h2af,Hmmr,Ppfia4,Tmem56,,Rnase12,Shisa5,Camk2d,Ddx60
Fgl2,Tcea1,Pet100,Ddx18,Oasl1,Lmo4,Cenpa,Myo1c,Paqr9,,Hck,Serpina3f,Kctd12,Tgtp1
Ktn1,Rps12-ps3,Hmga1,Coro1a,Epsti1,Btg2,Birc5,Loxl2,,,,Gbp6-1,,Gm4955
Cdc20,Irf9,Cox17,Vim,Cmpk2,Nusap1,Idnk,Ptcra,,,,9930111J21Rik2,,Slfn5
Ndufa1,Mb21d1,Sap18,Gpr65,Parp9,Hist1h3c,Ptpn18,Rpap3,,,,Znfx1,,Oas3
Anapc13,mt-Atp8,Slirp,Zcchc9,Irgm1,Banp,B3gnt2,Ccdc137,,,,Mzb1,,Gbp3
Dnm1l,Casp1,Gm8186,Cox16,Mitd1,Ctla2a,Csf2rb,Hif1a,,,,Gbp9,,Ifih1
Phpt1,Arpp19,Smim4,1810024B03Rik,Dhx58,Rec114,Trim21,Cxcl9,,,,Apol9a,,Parp14
Rpl23a-ps3,,Usp50,Snx14,Ifi35,Gvin1,Psme2,Lbh,,,,Tnfsf10,,Samd9l
Kif23,,Nutf2,Tuba8,Rnf213,Jun,Cenpe,Elovl6,,,,Gbp4,,Trim12c
Sap30,,Atp5e,Ccnb2,Tor3a,Sipa1l1,Hist1h3b,Fcgr1,,,,Cd79a,,Trim30d
Rab26os,,Rpl27-ps3,Gm6483,Tgtp2,Casp6,Cdca8,Trem2,,,,Gm12185,,Herc6
Cmss1,,Pnpt1,,Trafd1,,Gm9774,Ly86,,,,Plscr2,,Gm13822
Tsc22d4,,Tomm6,,Lgals3bp,,Pbk,Fcor,,,,Grn,,Slfn8
Pin4,,Ndufa5,,Dtx3l,,Ccnb1,,,,,Il18bp,,Phf11d
Pdap1,,Gm2000,,H2-T22,,Ccna2,,,,,Etnk1,,Gbp2
,,5730508B09Rik,,Parp12,,Hist2h2ac,,,,,Trim30b,,Oas1g
,,Dynlt1f,,Sp110,,Hist1h4c,,,,,Gm5431,,Ly6e
,,Tmem258,,H2-Q7,,Nkg7,,,,,Mpeg1,,Apol9b
,,Nmt1,,Capza2,,Kif11,,,,,Irf2,,Gm4070
,,Dynlt1a,,Nmi,,Plk1,,,,,Ly6d,,Trim12a
,,Timm23,,Oas2,,Hist1h1a,,,,,Snx2,,Ehd4
,,,,Daxx,,Aurkb,,,,,Il18,,Trim34a
,,,,Tor1aip1,,Hist1h1e,,,,,Irf1,,Samhd1
,,,,Parp10,,Ckap2l,,,,,Ctss,,Socs1
,,,,Psme1,,Crip1,,,,,Plxna4os1,,Slfn9
,,,,Ascc3,,Tpx2,,,,,Zcchc6,,Zc3hav1
,,,,H2-T23,,Racgap1,,,,,Ltb,,H2-Q6
,,,,H2-Q4,,Atp10a,,,,,H2-Aa,,Gbp5
,,,,Pml,,4930519L02Rik,,,,,H2-Eb1,,Ms4a4b
,,,,Nampt,,Hist1h3e,,,,,Xrn1,,Casp4
,,,,Psmb8,,Ralgps2,,,,,Pf4,,Irgm2
,,,,Ogfr,,Aurka,,,,,Klf4,,AW112010
,,,,Usp25,,Kpna2,,,,,Vpreb3,,Parp11
,,,,BC051226,,Fam46a,,,,,Psme2b,,Apobec3
,,,,Chmp4b,,Hist1h3f,,,,,Tpst1,,Gm4841
,,,,Samsn1,,Smc2,,,,,Nupr1,,Helz2
,,,,Psmb9,,Bloc1s1,,,,,Btc,,Tap1
,,,,Ppa1,,Tuba1c,,,,,Arhgap8,,Ncoa7
,,,,Pttg1,,,,,,,Phf11a,,Dcp2
,,,,Sp140,,,,,,,Dusp28,,Tdrd7
,,,,Cenpf,,,,,,,Apol7e,,Zufsp
,,,,AW011738,,,,,,,Wfdc17,,Uba7
,,,,BC147527,,,,,,,Fam26f,,Adar
,,,,Casp8,,,,,,,Gm26797,,Treml2
,,,,Lars2,,,,,,,,,Gadd45g
,,,,Nlrc5,,,,,,,,,1600014C10Rik
,,,,Gm15658,,,,,,,,,Rnf114
,,,,Rpl9-ps6,,,,,,,,,Slc25a22
,,,,Grcc10,,,,,,,,,Fndc3a
,,,,Hist1h2an,,,,,,,,,Clec2d
,,,,Cdk1,,,,,,,,,Map3k8
,,,,Trmt10a,,,,,,,,,Ypel3
,,,,Gm10036,,,,,,,,,Mov10
,,,,Angpt1,,,,,,,,,Asb13
,,,,Trim25,,,,,,,,,Fosb
,,,,Map2k1,,,,,,,,,Aida
,,,,Hn1,,,,,,,,,Fbxw17
,,,,Scd2,,,,,,,,,Ccnd1
,,,,,,,,,,,,,Il2rg
