HSCs #1,HSCs #2,LMPPs #1,LMPPs #2,myel. prog. #1,myel. prog. #2,myel. prog. #3,ery. prog. #1,ery. prog. #2,ery. prog. #3,MK prog.,monocytes,eosinophil prog.,eosinophils
Malat1,Malat1,Cd34,Adgrg1,H2afy,Pgam1,Elane,Malat1,Apoe,Tmsb4x,Rpl21,Tmsb4x,Cpa3,Prg2
Rpl8,Hlf,Cd27,Rpl9,BC035044,Sec61b,Ms4a3,S100a10,Vamp5,Car1,Nrgn,Crip1,Lmo4,Epx
Ptma,Msi2,H2afy,Taldo1,Ms4a6c,Pdia6,Ctsg,Gata2,Gm15915,Blvrb,Plac8,Rps6,Ms4a2,Prg3
Ybx1,Meis1,Sox4,Mt1,Emb,Plac8,Prtn3,Rpl41,S100a10,Atpif1,Ramp1,Coro1a,Cd63,Ldhc
Rps2,Gimap1,Adgrl4,Cd34,Irf8,Mpo,Mpo,Fkbp1a,Rps24,Fxyd5,Itga2b,Actb,Hdc,Arsb
Oaz1,Ctla2a,mt-Co1,Sox4,Tyrobp,Gapdh,Prss57,Itga4,Clec4d,Coro1a,Pbx1,Cd52,Rnase12,Trib1
Rpsa,Gcnt2,Ifi203,Tmem176b,Cd48,Slpi,Gstm1,Gapdh,Fkbp1a,Ermap,Cd9,Cyba,Ly6e,Fth1
Ppia,Ap3s1,Egfl7,Ptprcap,Fcer1g,Prtn3,Srgn,Ppia,Prtn3,Klf1,Apoe,Selplg,Fam129a,Cebpe
Erh,Gpx1,Pim1,Fth1,Pgam1,Hp,S100a11,Rps17,Mfsd2b,Alox5ap,Ctla2a,Rpl14,Csrp3,Syne1
H2afz,Gm42418,Ptpre,B2m,Ccl9,Calr,Nkg7,Rpl11,Lcp1,Itm2b,Zfpm1,Cnn2,Myl12b,Cd63
Eif5a,Ybx1,Rps9,mt-Co3,Psmb8,Hsp90b1,Rgcc,Krtcap2,Ugcg,Aqp1,Gng11,Pebp1,Fam46a,Rpl19
Rpl14,Eif5a,Tmem176b,Rps20,Cd34,Anxa3,Pglyrp1,Pgam1,Blvrb,Mrpl52,Mpo,Rpl10a,Lmo2,Fam46a
Rpl29,Zfp36l2,Sept1,Rpl39,Zfp706,Sdf2l1,Trem3,Rps6,Gata2,Ces2g,Meis1,Rpl3,Gata2,Rpl21
Ran,H2-K1,Fth1,Rpl37,Car2,Elane,Alas1,Pkm,Pgam1,Pkm,Rps8,Rpl36a,Fcgr3,Siglecf
Pfn1,Tmem176b,Mt1,Tspan13,Erp29,Alas1,Gsr,Mif,Tmsb4x,Tspo2,Emb,Sh3bgrl3,Lpcat2,Prdx2
Gapdh,Ifitm3,Lsp1,Ap3s1,Lgals1,Pdia3,Clec12a,Prtn3,Fth1,Mt1,Vamp5,Rpl26,Ikzf2,Rps24
Cox5a,Cox5a,Tspan13,Zfp36l2,Trf,Ssr4,Dstn,Tpi1,Car1,Hdgf,Tyrobp,Rps18,Anxa1,Rpsa
Pgls,Ifitm1,Ptpn18,mt-Co1,Bcl2,Ctsg,Cst7,Txn1,Emb,Car2,Prtn3,Rps5,Srgn,Rps18
Rpl18,mt-Co1,Ctla2a,Rps9,Igfbp4,Ms4a3,Lta4h,Erh,Krtcap2,Prdx6,Clec12a,Rps8,Cebpa,Rpl15
Anp32b,Myl10,Ap3s1,Ctla2a,Cst3,Gsr,Prdx5,H2afy,H2afy,Slc25a21,BC035044,Lmo2,Ptprs,Rpl11
Park7,Plac8,Rpl9,Cd27,Sell,Ddost,Arhgdib,Ndufa4,Malat1,Gstm5,Cd53,Rpl9,Mns1,Rpl6
Gpx1,Cycs,Gimap1,Rps3a1,Tspo,Ap3s1,Gpi1,Rpl7a,Cdk6,Glrx5,Pf4,Cd81,Gng12,Hdc
Rps6,Tspo,Gcnt2,Lsp1,Plac8,Ctsz,Rpl21,Ran,Erp29,Rpl14,Bin2,Rps7,4930519L02Rik,Bri3
Srsf3,Cst7,Malat1,Sdf2l1,Cd53,Manf,Hp,Rps2,Alox5ap,Myl12b,Gpx1,Fcer1g,Padi2,Cpa3
Rbm3,Adgrg1,Satb1,Adgrl4,Ramp1,Hspa5,Cebpe,Cox6c,Cst3,Arhgdib,Rgs18,Myb,P2rx4,Rpl18
Atp5h,Rbp1,Gpr171,Paip2,Glipr1,Ly6c2,Igsf6,Hint1,Pdia3,Gclm,Fermt3,Gnb2l1,Alox5,Lmo2
Stmn1,Rps2,Flt3,Atp5g1,Hint1,Sec61g,Msrb1,Rplp1,Optn,Gm15915,Lgals1,Tyrobp,Fcer1g,Rps4x
Rps27a,Slc25a5,Sell,Egfl7,Stmn1,Msrb1,Atp6ap2,Rpl35a,Cd34,Tmem176b,Adgrg1,Npm1,Rab44,Rps3a1
Serf2,Rpl36al,Ssbp2,Ifngr1,Fkbp1a,Erp29,Anxa3,Txnip,Rps7,Ptpn18,Rps3a1,Cdk6,Taldo1,Rpl10a
Alyref,Taldo1,Lmo2,Hlf,Bex6,Ssr2,Serpinb1a,Anp32b,Pkm,Atp5g1,Ctsg,Rps3a1,Mef2c,Rps11
Atp5b,Pgls,Hlf,Gsr,Idh2,Spcs2,Fcgr3,Shfm1,Coro1a,Sh3bgrl3,Car2,Rpl15,Gm11697,Zfp36l2
Hmgb1,Lmo2,mt-Co3,Ms4a3,Milr1,Tspo,Cldn15,Btg1,Manf,Prtn3,Rap1b,Rps19,Runx1,Eef1a1
