pattern1,pattern2,pattern3,pattern4,pattern5,pattern6,pattern7,pattern8,pattern9,pattern10,pattern11,pattern12,pattern13,pattern14,pattern15,pattern16
Rpl35,H2-Q7,Rps28,Hist1h2ap,Gm10020,Mnda,Isg15,Plac8,Ifitm3,Jchain,Prss34,Rnaset2a,Hist1h1b,Slpi,Coro1a,Ifi27l2a
Rps29,H2-Q6,Snrpg,Hist1h2ae,Gm8186,Cxcl10,Ifit1,Pnp,Uba52,Cma1,Mcpt8,Rnaset2b,Ube2c,F13a1,Vim,Cpa3
Rpl38,Zcchc11,Sec61g,Hist1h4h,AY036118,Ifit3,Ifi203,Nme2,Ly6a,S100a8,Gzmb,Wdr89,Mki67,Irf8,Ypel3,Cd74
Rpl41,H2-Q4,Eif3j1,Hist1h2ab,Rpl27-ps3,Ifit3b,Irf7,Cebpb,Lgals3bp,S100a9,Cd200r3,Nutf2,Hmmr,Ctsh,Dhrs3,Ms4a2
Rps21,Fam98b,Gstp1,Hist1h4d,Tnfaip2,Phf11b,Usp18,Psmb9,Ddx24,Mzb1,Hspa1b,Gng10,Cenpa,Pld4,Btg2,H2-Aa
Rpl39,Ifitm1,Polr2l,Hist1h2af,Gm2000,Ifit1bl1,Xaf1,Snhg9,Ly6e,Cd79a,Fcer1a,Rps12-ps3,Cenpf,Lars2,Fos,H2-Eb1
Rps27,Ddx18,Ddx21,Hist1h3c,Dynlt1f,Ifit2,Mndal,Psme2,H2-T22,Hba-a2,Hspa1a,Hmga1-rs1,Birc5,Fosb,Jun,Lmo4
Rpl37,Samsn1,Wdr43,Hist2h2ac,Rpl23a-ps3,Mx1,Trim30a,5730508B09Rik,Lgals9,Prg3,Dntt,Clec12a,Cdc20,Csf1r,Lbh,Hist1h2an
Rpl36,Ptpn18,Cox17,Hist1h4c,Rec114,Trim30d,Rtp4,Phpt1,Acadl,Ly6d,Klrk1,Rpl9-ps6,Cenpe,Hebp1,Scd2,Csrp3
Atp5k,Ktn1,Pgk1,Hist1h3e,Gm6483,Gm13822,Ifi44,Sap30,Shisa5,Prg2,Id2,Pglyrp1,Cdca8,Ppfia4,Kctd12,Rnase12
Tmsb10,Irf2,Sap18,Hist1h3f,,Ms4a4c,Oasl2,,Casp4,Hbb-bs,Rilpl1,Gm9774,Nusap1,Rhd,Casp6,
Lsm7,Ccnd1,Slirp,,,Phf11d,Rsad2,,Psmb10,Ptcra,Ltb,Elane,Pbk,Tyrobp,,
Rpl37a,Zcchc6,Hells,,,Oas1g,Iigp1,,Psme1,Hba-a1,Agl,Gm10036,Ccnb1,Car1,,
Gm10076,Il2rg,Tcof1,,,Apol9b,Bst2,,AW112010,Vpreb3,Hbb-bt,Nkg7,Kif23,Banp,,
Cox7c,Cox16,1810009A15Rik,,,F830016B08Rik,Ifi204,,Ascc3,Cxcl9,Cyp4f18,Rgcc,Ccna2,Mgst3,,
Usmg5,Gm15658,Dcp2,,,Pydc4,Ifi47,,H2-T23,,Lgals3,Timm23,Cdk1,Fam132a,,
Tomm7,Dnm1l,Zcchc9,,,AI607873,Zbp1,,Nampt,,Klf4,,Ccnb2,Tspan8,,
Ndufa3,1810024B03Rik,Ndufa1,,,Pydc3,Stat1,,Tap1,,Trem2,,Kif11,Ctse,,
2010107E04Rik,Ethe1,B3gnt2,,,Socs1,Isg20,,Psmb8,,,,Plk1,Cldn13,,
Bola2,Myo1c,mt-Atp8,,,Serpina3f,Oas1a,,Ogfr,,,,Hist1h1a,Tmem56,,
