"cell_type","gene","avg_logFC","p_val","p_val_adj","de_family","de_method","de_type","time"
"ery. prog. #2","Isg15",-6.45727545552624,0,0,"pseudobulk","edgeR","LRT","3h"
"LMPPs #1","Isg15",-5.31243434279711,0,0,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Isg15",-6.44400107088665,0,0,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Ifitm3",-2.2377706741829,0,0,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Isg15",-6.99098125646189,0,0,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rpl35",-2.38744858099204,0,0,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rps29",-1.62826757098768,0,0,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Uba52",-2.12262756535509,0,0,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #3","Isg15",-6.43059453166192,0,0,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Ifitm3",-1.72214975755578,0,0,"pseudobulk","edgeR","LRT","24h"
"myel. prog. #2","Rpl35",-1.87941498630394,0,0,"pseudobulk","edgeR","LRT","72h"
"myel. prog. #2","Mnda",-5.30821999959954,4.94065645841247e-324,1.17044151499791e-320,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rps28",-1.62440818847186,1.97626258336499e-323,4.0128011755226e-320,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Ifit1",-6.36541615071802,5.27803605053716e-310,7.65209666606878e-306,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Ifi203",-3.42814310548652,4.10481327408659e-298,7.29271388307408e-295,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Rpl35",-2.44885353514547,4.72840745159864e-290,3.42762256166386e-286,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Irf7",-6.72888084962423,1.99016884104772e-287,3.14291885975681e-284,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Ifit1",-7.85970580866785,1.44263285024927e-284,2.05041407005929e-281,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rpl38",-1.59962055880735,8.60547365560683e-281,1.11190542788309e-277,"pseudobulk","edgeR","LRT","3h"
"ery. prog. #3","Isg15",-6.48475103084194,6.05214501673605e-281,7.94344033446607e-277,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Usp18",-6.57282527405083,1.17467568261701e-277,1.39130545641963e-274,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rpl41",-1.32983627433884,1.59431374363531e-261,1.74307547986836e-258,"pseudobulk","edgeR","LRT","3h"
"LMPPs #2","Isg15",-5.1488248590206,3.07336732646292e-261,4.21727464537241e-257,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Xaf1",-4.12185873205511,4.23508791770064e-259,4.29952175530565e-256,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Ifit1",-7.74734983255343,1.14011944442219e-258,8.15983486372961e-255,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Ifi27l2a",-3.65548177164474,2.65579395565056e-250,4.00812423786782e-246,"pseudobulk","edgeR","LRT","24h"
"myel. prog. #1","Irf7",-6.34176944365039,1.65144965086815e-249,7.8796167675089e-246,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Mndal",-2.73012550339388,6.08727704677932e-248,5.7678979110583e-245,"pseudobulk","edgeR","LRT","3h"
"ery. prog. #2","Ifitm3",-3.61731431691333,8.87527231141859e-245,5.67041147976533e-241,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Irf7",-5.34435440421443,5.65443322886972e-240,2.73259909840511e-236,"pseudobulk","edgeR","LRT","3h"
"ery. prog. #3","Ifit1",-8.30371500130332,4.2828596360526e-237,2.81062663615952e-233,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Trim30a",-3.09019271045983,1.20131170339192e-235,1.06714020251934e-232,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Usp18",-6.20612947528502,3.32623085530032e-230,1.19029171156922e-226,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Rpl35",-1.87535916477094,1.69312518743295e-228,2.48923265056393e-224,"pseudobulk","edgeR","LRT","72h"
"myel. prog. #2","Rtp4",-5.81075313325514,1.09300178116511e-225,9.13813783276457e-223,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rpl35",-1.24407550766497,1.43882252255307e-226,1.06537613682442e-222,"pseudobulk","edgeR","LRT","24h"
"HSCs #2","Isg15",-5.03765176701025,1.84327091970625e-224,2.754768389501e-220,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Cxcl10",-9.26770341950581,1.51545355834064e-221,4.33844044681757e-218,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Mnda",-6.21203462481142,4.27913722384921e-220,1.02085950370296e-216,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Ifi44",-5.24667187447443,1.70996759741882e-219,6.19777755684452e-216,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rps29",-1.22985751679476,6.95161815123465e-218,4.98048682445207e-214,"pseudobulk","edgeR","LRT","72h"
"LMPPs #1","Ifit3",-7.91413879412862,7.19176523323369e-218,5.05868766505658e-214,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Rtp4",-3.94474858715365,6.57033556757749e-216,1.90513450117477e-212,"pseudobulk","edgeR","LRT","3h"
"HSCs #2","Ifit3",-6.29701875754207,2.74264647641212e-216,2.04944257949895e-212,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Rpl35",-2.36393012942794,2.11726899066968e-214,4.32951261892083e-211,"pseudobulk","edgeR","LRT","3h"
"HSCs #2","Ifit1",-5.63233422747817,1.25742718472012e-214,6.26408309188074e-211,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Oasl2",-5.55406943028552,8.49192586956217e-214,6.70531902133817e-211,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Rsad2",-5.64900765133914,3.03644861655208e-213,7.33707200712867e-210,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rps21",-1.29826763995277,1.30041536006271e-212,9.72779132240592e-210,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rpl39",-1.27355312556031,1.92191518628871e-210,1.36580902713607e-207,"pseudobulk","edgeR","LRT","3h"
"HSCs #2","Iigp1",-5.16551317283698,2.78952040525503e-210,1.04223456141341e-206,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Oasl2",-4.33963060905286,5.21413683040451e-210,1.07992222524578e-206,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Bst2",-1.8784357766919,5.52298082740298e-208,3.73800602380374e-205,"pseudobulk","edgeR","LRT","3h"
"LMPPs #1","Ifit1",-6.23085025475819,8.18227695788632e-205,3.83694240811816e-201,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #3","Ifitm3",-3.05361963029124,2.62623709979582e-204,1.78177056035648e-200,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rps27",-1.4440790018807,3.10668607521419e-203,2.00706041759178e-200,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #3","Ifit1",-7.70041046756372,1.42244424444306e-202,6.43371531761594e-199,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rpl37",-1.28678389771769,2.68588525866715e-201,1.65976031223636e-198,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Rps29",-1.66114069116529,2.27842628768977e-196,4.12907803986579e-193,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rpl36",-1.23475474814274,6.08837118365239e-194,3.60558415138548e-191,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Oasl2",-5.25331486521703,1.15945974095717e-193,2.07456334150762e-190,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Uba52",-2.13585484030193,1.85068370837993e-193,2.98124582267691e-190,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Hist1h2ap",-3.84712348696959,2.00562003425389e-192,1.14023510187402e-189,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Ifi204",-6.29596187134457,1.80140300561914e-191,2.86503140249249e-188,"pseudobulk","edgeR","LRT","3h"
"LMPPs #1","Ifi44",-4.75446020195355,7.06160047512108e-191,2.48356488710008e-187,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Xaf1",-3.65341208867197,4.02377270842286e-187,5.83366567267146e-184,"pseudobulk","edgeR","LRT","3h"
"ery. prog. #3","Iigp1",-7.30776963078948,1.50427375437799e-187,6.58119767540372e-184,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Ifi47",-2.20414966582959,4.33627677487748e-186,2.37044237697437e-183,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Usp18",-4.63174011926271,6.49577097295647e-186,8.56142614235663e-183,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Ifi203",-3.02670517222388,1.06558770104233e-184,1.52528223527198e-181,"pseudobulk","edgeR","LRT","3h"
"LMPPs #1","Iigp1",-5.72008895718755,9.67357273002911e-183,2.72175642332099e-179,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Atp5k",-1.76131761812198,2.00168706005166e-181,1.05370289572275e-178,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Rsad2",-7.20620928339949,2.26624060832307e-181,1.15035992021771e-178,"pseudobulk","edgeR","LRT","3h"
"HSCs #2","Cxcl10",-8.6426982515537,4.81107558776849e-181,1.438030493184e-177,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #2","Zbp1",-5.48588200982249,4.53464220098932e-180,2.22244377940211e-177,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Iigp1",-8.61683526292054,6.17911927883547e-180,8.04071939611372e-177,"pseudobulk","edgeR","LRT","3h"
"ery. prog. #2","Ifit1",-8.37765367022171,3.64634443597311e-180,1.55309964009548e-176,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Rpl38",-1.61114280443519,1.49876178300785e-179,1.81075402750399e-176,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Rtp4",-4.52856665008068,2.81305341796322e-179,3.35550388539379e-176,"pseudobulk","edgeR","LRT","3h"
"LMPPs #1","Hist1h2ap",-4.61459819625084,3.42977044300079e-179,8.04166843202253e-176,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Ifi203",-3.11474100727798,8.7978285400499e-179,9.81160909028026e-176,"pseudobulk","edgeR","LRT","3h"
"ery. prog. #2","Bst2",-3.79385143676956,8.58266395463545e-179,2.7417320003083e-175,"pseudobulk","edgeR","LRT","3h"
"ery. prog. #3","Ifitm3",-3.99550552114761,4.55123674070298e-177,1.49337455554317e-173,"pseudobulk","edgeR","LRT","3h"
"HSCs #2","Ifi44",-4.58890526625597,2.0498509945141e-174,5.10583718550221e-171,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Ifi44",-5.38677308056108,5.08659388793537e-172,5.60073114706976e-169,"pseudobulk","edgeR","LRT","3h"
"ery. prog. #3","Ifi47",-3.96571775592742,3.30619547666503e-172,8.67876312624569e-169,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Stat1",-3.48279681869829,1.09750231620811e-170,1.13654204145608e-167,"pseudobulk","edgeR","LRT","3h"
"HSCs #2","Rsad2",-5.31112975293127,1.8944206307808e-169,4.044588046717e-166,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Rpl35",-1.88416491548085,5.0003084550192e-169,7.4504595979786e-165,"pseudobulk","edgeR","LRT","72h"
"HSCs #2","Irf7",-4.4443604269507,1.89704786235641e-167,3.54392253786456e-164,"pseudobulk","edgeR","LRT","3h"
"LMPPs #1","Irf7",-4.82428823659394,5.48900386310636e-167,1.10313294780258e-163,"pseudobulk","edgeR","LRT","3h"
"MK prog.","Mndal",-2.87334990980802,1.99882998827895e-165,1.93193581133788e-162,"pseudobulk","edgeR","LRT","3h"
"myel. prog. #1","Zbp1",-5.02759577822501,2.24062222149201e-162,2.29087617703119e-159,"pseudobulk","edgeR","LRT","3h"
"HSCs #2","Usp18",-4.76646242519697,1.51812616637456e-162,2.52093283960753e-159,"pseudobulk","edgeR","LRT","3h"
