Gene;Entrez Gene ID;Description
Abca9;217262;ATP-binding cassette, sub-family A (ABC1), member 9
Abce1;24015;ATP-binding cassette, sub-family E (OABP), member 1
Ablim3;319713;actin binding LIM protein family, member 3
Abtb2;99382;ankyrin repeat and BTB (POZ) domain containing 2 
Acsl1;14081;acyl-CoA synthetase long-chain family member 1 
Adamdec1;58860;ADAM-like, decysin 1
Adar;56417;adenosine deaminase, RNA-specific 
Adm;11535;adrenomedullin
Agpat9;231510;1-acylglycerol-3-phosphate O-acyltransferase 9 
Aim2;383619;absent in melanoma 2
Akt3;23797;v-akt murine thymoma viral oncogene homolog 3 
Aldh1a1;11668;aldehyde dehydrogenase 1 family, member A1
Alyref;21681;Aly/REF export factor
Amph;218038;amphiphysin 
Angptl1;72713;angiopoietin-like 1 
Ankrd22;52024;Ankyrin Repeat Domain 22
Apol2;239552;apolipoprotein L, 2 
Apol6;71939;apolipoprotein L, 6 
Aqp9;64008;apolipoprotein L, 9
Arg2;11847;arginase 2 
Arhgef3;71704;Rho guanine nucleotide exchange factor (GEF) 3
Arntl;11865;aryl hydrocarbon receptor nuclear translocator-like
Atf2;11909;activating transcription factor 2 
Atf3;11910;activating transcription factor 3 
B2m;12010;beta-2-microglobulin
Bag1;12017;BCL2-associated athanogene
Bak1;12018;BCL2-antagonist/killer 1
Banf1;23825;barrier to autointegration factor 1
Batf2;74481;basic leucine zipper transcription factor, ATF-like 2 
Bax;12028;BCL2-associated X protein
Bcl2;12043;B cell leukemia/lymphoma 2
Bcl2l1;12048;BCL2-like 1
Bcl3;12051;B cell leukemia/lymphoma 3
Birc2;11797;baculoviral IAP repeat-containing 2
Birc3;11796;baculoviral IAP repeat-containing 3
Blvra;109778;biliverdin reductase A
Blzf1;66352;basic leucine zipper nuclear factor 1 
Bst2;69550;bone marrow stromal cell antigen 2 
Bub1;12235;BUB1 mitotic checkpoint serine/threonine kinase
C10orf10;213393;chromosome 10 open reading frame 10 
C15orf48;433470;chromosome 15 open reading frame 48 
C1S;317677;complement component 1, s subcomponent
C22orf28;28088;chromosome 22 open reading frame 28
C4orf32;70617;chromosome 4 open reading frame 32
C4orf33;73852;chromosome 4 open reading frame 33
C9orf91;230279;chromosome 9 open reading frame 91 
Calr;12317;calreticulin
Canx;12330;calnexin
Casp1;12362;caspase 1
Casp7;12369;caspase 1, apoptosis-related cysteine peptidase 
Ccdc75;53951;caspase 7, apoptosis-related cysteine peptidase
Ccl11;20292;C-C Motif Chemokine Ligand 11
Ccl2;20293;C-C Motif Chemokine Ligand 2
Ccl22;20299;C-C Motif Chemokine Ligand 22
Ccl4;20303;C-C Motif Chemokine Ligand 4
Ccl5;20304;C-C Motif Chemokine Ligand 5
Ccna1;12427;cyclin A1 
Ccr1;12768;chemokine (C-C motif) receptor 1 
Ccr7;12775;chemokine (C-C motif) receptor 7 
Cd163;93671;CD163 molecule 
Cd274;60533;CD274 molecule 
Cd38;12494;CD38 molecule 
Cd40;21939;CD40molecule 
Cd69;12515;CD69 molecule 
Cd74;16149;CD74vmolecule 
Cd9;12527;CD9 molecule 
Cdk17;237459;cyclin-dependent kinase 17 
Cdk18;18557;cyclin-dependent kinase 18 
Cdkn1a;12575;cyclin-dependent kinase inhibitor 1A (p21, Cip1) 
Ces1;12623;carboxylesterase 1 
Cfb;14962;complement factor B 
Chmp5;76959;charged multivesicular body protein 5
Chuk;12675;conserved helix-loop-helix ubiquitous kinase
Ciita;12265;class II transactivator
Clec4d;17474;C-type lectin domain family 4, member D 
Clec4e;56619;C-type lectin domain family 4, member E 
Clec5a;23845;C-type lectin domain family 5, member a
Cnp;12799;2',3'-cyclic nucleotide 3' phosphodiesterase 
Commd3;12238;COMM domain containing 3 
Cpt1a;12894;carnitine palmitoyltransferase 1A (liver)
Creb3l3;208677;cAMP responsive element binding protein 3-like 3 
Crebbp;12914;CREB binding protein
Crebzf;233490;CREB/ATF bZIP transcription factor
Crp;12944;C-Reactive Protein
Cry1;12952;cryptochrome circadian clock 1
Csrnp1;215418;cysteine-serine-rich nuclear protein 1
Cx3cl1;20312;chemokine (C-X3-C motif) ligand 1
Cxcl10;15945;C-X-C Motif Chemokine Ligand 10
Cxcl9;17329;C-X-C Motif Chemokine Ligand 9
Cxcr4;12767;chemokine (C-X-C motif) receptor 4
Cyp1b1;13078;cytochrome P450, family 1, subfamily B, polypeptide 1 
Cyth1;19157;cytohesin 1
Dcp1a;75901;Decapping MRNA 1A
Ddit4;74747;DNA-damage-inducible transcript 4 
Ddx58;230073;DEAD (Asp-Glu-Ala-Asp) box polypeptide 58 
Ddx60;234311;DEAD (Asp-Glu-Ala-Asp) box polypeptide 60
Dhx58;80861;DEXH (Asp-Glu-X-His) box polypeptide 58
Dtx3l;209200;deltex 3 like, E3 ubiquitin ligase
Duox2;214593;dual oxidase 2
Dusp5;240672;dual specificity phosphatase 5 
Dynlt1;100040531;dynein, light chain, Tctex-type 1 
Ehd4;98878;EH-domain containing 4 
Eif2ak2;19106;eukaryotic translation initiation factor 2-alpha kinase 2 
Eif3l;223691;eukaryotic translation initiation factor 3, subunit L 
Elf1;13709;E74-like factor 1 (ets domain transcription factor) 
Enpp1;18605;ectonucleotide pyrophosphatase/phosphodiesterase 1 
Epas1;13819;endothelial PAS domain protein 1
Erlin1;226144;ER lipid raft associated 1 
Etv6;14011;ets variant 6 
Ext1;14042;exostosin glycosyltransferase 1 
Fadd;14082;Fas (TNFRSF6)-associated via death domain
Fam125b;72543;family with sequence similarity 125, member B 
Fam134b;66270;family with sequence similarity 134, member B 
Fam46a;212943;family with sequence similarity 46, member A
Fam46c;74645;family with sequence similarity 46, member C 
Fam70a;245386;family with sequence similarity 70, member A 
Fbxo6;50762;F-box protein 6
Fcgr1a;14129;Fc fragment of IgG, high affinity Ia, receptor (CD64) 
Ffar2;233079;free fatty acid receptor 2
Fgr;14191;FGR proto-oncogene, Src family tyrosine kinase
Fkbp5;14229;FK506 binding protein 5 
Flt1;14254;fms-related tyrosine kinase 1 
Fndc3b;72007;fibronectin type III domain containing 3B
Fndc4;64339;fibronectin type III domain containing 4
